skill_canonical,display_name,category,aliases
python,Python,language,"[""python"",""python3""]"
javascript,JavaScript,language,"[""javascript"",""js"",""ecmascript""]"
typescript,TypeScript,language,"[""typescript"",""ts""]"
csharp,C#,language,"[""c#"",""csharp"",""c sharp"",""dotnet language""]"
java,Java,language,"[""java""]"
go,Go,language,"[""go"",""golang""]"
rust,Rust,language,"[""rust"",""rust-lang""]"
cpp,C++,language,"[""c++"",""cpp"",""cplusplus""]"
sql,SQL,language,"[""sql""]"
bash,Bash,language,"[""bash"",""shell"",""sh""]"
powershell,PowerShell,language,"[""powershell"",""pwsh""]"
react,React,frontend,"[""react"",""reactjs"",""react.js""]"
nextjs,Next.js,frontend,"[""next.js"",""nextjs""]"
vue,Vue,frontend,"[""vue"",""vuejs"",""vue.js""]"
angular,Angular,frontend,"[""angular"",""angularjs""]"
tailwind,Tailwind CSS,frontend,"[""tailwind"",""tailwindcss""]"
html,HTML,frontend,"[""html"",""html5""]"
css,CSS,frontend,"[""css"",""css3""]"
nodejs,Node.js,backend,"[""nodejs"",""node.js"",""node js"",""node""]"
express,Express,backend,"[""express"",""expressjs""]"
fastapi,FastAPI,backend,"[""fastapi""]"
flask,Flask,backend,"[""flask""]"
django,Django,backend,"[""django""]"
aspnet-core,ASP.NET Core,backend,"[""asp.net core"",""aspnet core"",""dotnet core""]"
aspnet-mvc,ASP.NET MVC,backend,"[""asp.net mvc"",""aspnet mvc""]"
spring-boot,Spring Boot,backend,"[""spring boot"",""springboot""]"
ef-core,Entity Framework Core,backend,"[""entity framework core"",""ef core""]"
graphql,GraphQL,backend,"[""graphql""]"
rest-api,REST API,backend,"[""rest"",""rest api"",""restful""]"
grpc,gRPC,backend,"[""grpc""]"
microservices,Microservices,architecture,"[""microservices"",""microservice""]"
serverless,Serverless,architecture,"[""serverless""]"
event-driven,Event-Driven Architecture,architecture,"[""event driven"",""eda""]"
ddd,Domain-Driven Design,architecture,"[""ddd"",""domain driven design""]"
postgresql,PostgreSQL,database,"[""postgresql"",""postgres""]"
mysql,MySQL,database,"[""mysql""]"
sqlserver,SQL Server,database,"[""sql server"",""mssql""]"
mongodb,MongoDB,database,"[""mongodb""]"
redis,Redis,database,"[""redis""]"
dynamodb,DynamoDB,database,"[""dynamodb""]"
elasticsearch,Elasticsearch,database,"[""elasticsearch"",""elastic search""]"
opensearch,OpenSearch,database,"[""opensearch""]"
duckdb,DuckDB,database,"[""duckdb""]"
clickhouse,ClickHouse,database,"[""clickhouse""]"
snowflake,Snowflake,database,"[""snowflake""]"
aws,AWS,cloud,"[""aws"",""amazon web services""]"
aws-lambda,AWS Lambda,cloud,"[""lambda"",""aws lambda""]"
aws-api-gateway,AWS API Gateway,cloud,"[""api gateway"",""aws api gateway""]"
aws-s3,AWS S3,cloud,"[""s3"",""aws s3""]"
aws-rds,AWS RDS,cloud,"[""rds"",""aws rds""]"
aws-ec2,AWS EC2,cloud,"[""ec2"",""aws ec2""]"
aws-ecs,AWS ECS,cloud,"[""ecs"",""aws ecs""]"
aws-eks,AWS EKS,cloud,"[""eks"",""aws eks""]"
aws-cloudformation,AWS CloudFormation,cloud,"[""cloudformation"",""cfn""]"
aws-cdk,AWS CDK,cloud,"[""cdk"",""aws cdk""]"
bedrock,Amazon Bedrock,ai,"[""bedrock"",""amazon bedrock""]"
gcp,GCP,cloud,"[""gcp"",""google cloud""]"
azure,Azure,cloud,"[""azure"",""ms azure""]"
docker,Docker,devops,"[""docker""]"
kubernetes,Kubernetes,devops,"[""kubernetes"",""k8s"",""kube""]"
terraform,Terraform,devops,"[""terraform""]"
helm,Helm,devops,"[""helm""]"
ansible,Ansible,devops,"[""ansible""]"
github-actions,GitHub Actions,devops,"[""github actions"",""gh actions""]"
gitlab-ci,GitLab CI,devops,"[""gitlab ci"",""gitlab-ci""]"
jenkins,Jenkins,devops,"[""jenkins""]"
git,Git,devops,"[""git""]"
linux,Linux,devops,"[""linux""]"
nginx,nginx,devops,"[""nginx""]"
kafka,Kafka,messaging,"[""kafka""]"
rabbitmq,RabbitMQ,messaging,"[""rabbitmq""]"
sqs,AWS SQS,messaging,"[""sqs"",""aws sqs""]"
sns,AWS SNS,messaging,"[""sns"",""aws sns""]"
jwt-auth,JWT Auth,security,"[""jwt"",""jwt auth"",""jwt authentication""]"
oauth2,OAuth 2.0,security,"[""oauth"",""oauth2""]"
pytest,pytest,testing,"[""pytest""]"
jest,Jest,testing,"[""jest""]"
playwright,Playwright,testing,"[""playwright""]"
selenium,Selenium,testing,"[""selenium""]"
rag,RAG,ai,"[""rag"",""retrieval augmented generation""]"
prompt-engineering,Prompt Engineering,ai,"[""prompt engineering""]"
langchain,LangChain,ai,"[""langchain""]"
openai-api,OpenAI API,ai,"[""openai""]"
gemini-api,Gemini API,ai,"[""gemini"",""google gemini""]"
